06月20日 17:32:57 : Validating ... 
06月20日 17:32:59 : Init Val @ Epoch:1, lr:0.0001, val_mse_loss: 9675.247863769531
06月20日 17:34:22 : Epoch 1/600, Iter 65/454, loss = 5015.86, lr = 0.00010000
06月20日 17:34:23 : Epoch 1/600, Iter 66/454, loss = 4985.61, lr = 0.00010000
06月20日 17:34:23 : Epoch 1/600, Iter 67/454, loss = 4952.13, lr = 0.00010000
06月20日 17:34:23 : Epoch 1/600, Iter 68/454, loss = 4934.73, lr = 0.00010000
06月20日 17:34:23 : Epoch 1/600, Iter 69/454, loss = 4909.69, lr = 0.00010000
06月20日 17:34:23 : Epoch 1/600, Iter 70/454, loss = 4893.12, lr = 0.00010000
06月20日 17:34:23 : Epoch 1/600, Iter 71/454, loss = 4862.72, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 72/454, loss = 4835.21, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 73/454, loss = 4811.16, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 74/454, loss = 4778.70, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 75/454, loss = 4751.66, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 76/454, loss = 4727.00, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 77/454, loss = 4701.04, lr = 0.00010000
06月20日 17:34:31 : Epoch 1/600, Iter 78/454, loss = 4675.02, lr = 0.00010000
06月20日 17:34:32 : Epoch 1/600, Iter 79/454, loss = 4650.05, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 80/454, loss = 4622.74, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 81/454, loss = 4591.20, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 82/454, loss = 4561.58, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 83/454, loss = 4536.07, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 84/454, loss = 4513.07, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 85/454, loss = 4492.27, lr = 0.00010000
06月20日 17:34:40 : Epoch 1/600, Iter 86/454, loss = 4466.77, lr = 0.00010000
06月20日 17:34:41 : Epoch 1/600, Iter 87/454, loss = 4445.42, lr = 0.00010000
06月20日 17:34:48 : Epoch 1/600, Iter 88/454, loss = 4424.02, lr = 0.00010000
06月20日 17:34:48 : Epoch 1/600, Iter 89/454, loss = 4397.53, lr = 0.00010000
06月20日 17:34:48 : Epoch 1/600, Iter 90/454, loss = 4376.18, lr = 0.00010000
06月20日 17:34:48 : Epoch 1/600, Iter 91/454, loss = 4360.84, lr = 0.00010000
06月20日 17:34:48 : Epoch 1/600, Iter 92/454, loss = 4334.82, lr = 0.00010000
06月20日 17:34:49 : Epoch 1/600, Iter 93/454, loss = 4317.99, lr = 0.00010000
06月20日 17:34:49 : Epoch 1/600, Iter 94/454, loss = 4297.11, lr = 0.00010000
06月20日 17:34:49 : Epoch 1/600, Iter 95/454, loss = 4278.33, lr = 0.00010000
06月20日 17:34:56 : Epoch 1/600, Iter 96/454, loss = 4260.88, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 97/454, loss = 4240.28, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 98/454, loss = 4222.53, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 99/454, loss = 4203.96, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 100/454, loss = 4186.50, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 101/454, loss = 4168.87, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 102/454, loss = 4152.13, lr = 0.00010000
06月20日 17:34:57 : Epoch 1/600, Iter 103/454, loss = 4134.89, lr = 0.00010000
06月20日 17:35:04 : Epoch 1/600, Iter 104/454, loss = 4121.09, lr = 0.00010000
06月20日 17:35:04 : Epoch 1/600, Iter 105/454, loss = 4101.64, lr = 0.00010000
06月20日 17:35:04 : Epoch 1/600, Iter 106/454, loss = 4082.58, lr = 0.00010000
06月20日 17:35:04 : Epoch 1/600, Iter 107/454, loss = 4065.19, lr = 0.00010000
06月20日 17:35:05 : Epoch 1/600, Iter 108/454, loss = 4048.20, lr = 0.00010000
06月20日 17:35:05 : Epoch 1/600, Iter 109/454, loss = 4030.01, lr = 0.00010000
06月20日 17:35:05 : Epoch 1/600, Iter 110/454, loss = 4010.30, lr = 0.00010000
06月20日 17:35:05 : Epoch 1/600, Iter 111/454, loss = 3992.65, lr = 0.00010000
06月20日 17:35:12 : Epoch 1/600, Iter 112/454, loss = 3977.42, lr = 0.00010000
06月20日 17:35:12 : Epoch 1/600, Iter 113/454, loss = 3960.87, lr = 0.00010000
06月20日 17:35:12 : Epoch 1/600, Iter 114/454, loss = 3942.27, lr = 0.00010000
06月20日 17:35:13 : Epoch 1/600, Iter 115/454, loss = 3928.26, lr = 0.00010000
06月20日 17:35:13 : Epoch 1/600, Iter 116/454, loss = 3911.86, lr = 0.00010000
06月20日 17:35:13 : Epoch 1/600, Iter 117/454, loss = 3897.97, lr = 0.00010000
06月20日 17:35:13 : Epoch 1/600, Iter 118/454, loss = 3885.61, lr = 0.00010000
06月20日 17:35:13 : Epoch 1/600, Iter 119/454, loss = 3870.22, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 120/454, loss = 3853.48, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 121/454, loss = 3837.40, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 122/454, loss = 3821.26, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 123/454, loss = 3810.94, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 124/454, loss = 3799.36, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 125/454, loss = 3788.37, lr = 0.00010000
06月20日 17:35:21 : Epoch 1/600, Iter 126/454, loss = 3777.90, lr = 0.00010000
06月20日 17:35:22 : Epoch 1/600, Iter 127/454, loss = 3767.02, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 128/454, loss = 3756.22, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 129/454, loss = 3741.73, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 130/454, loss = 3730.50, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 131/454, loss = 3718.19, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 132/454, loss = 3706.54, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 133/454, loss = 3691.62, lr = 0.00010000
06月20日 17:35:29 : Epoch 1/600, Iter 134/454, loss = 3682.90, lr = 0.00010000
06月20日 17:35:30 : Epoch 1/600, Iter 135/454, loss = 3673.88, lr = 0.00010000
06月20日 17:35:37 : Epoch 1/600, Iter 136/454, loss = 3660.64, lr = 0.00010000
06月20日 17:35:37 : Epoch 1/600, Iter 137/454, loss = 3648.14, lr = 0.00010000
06月20日 17:35:37 : Epoch 1/600, Iter 138/454, loss = 3635.26, lr = 0.00010000
06月20日 17:35:37 : Epoch 1/600, Iter 139/454, loss = 3624.67, lr = 0.00010000
06月20日 17:35:37 : Epoch 1/600, Iter 140/454, loss = 3613.06, lr = 0.00010000
06月20日 17:35:37 : Epoch 1/600, Iter 141/454, loss = 3602.97, lr = 0.00010000
06月20日 17:35:38 : Epoch 1/600, Iter 142/454, loss = 3592.58, lr = 0.00010000
06月20日 17:35:38 : Epoch 1/600, Iter 143/454, loss = 3579.85, lr = 0.00010000
06月20日 17:35:45 : Epoch 1/600, Iter 144/454, loss = 3565.34, lr = 0.00010000
06月20日 17:35:45 : Epoch 1/600, Iter 145/454, loss = 3553.97, lr = 0.00010000
06月20日 17:35:45 : Epoch 1/600, Iter 146/454, loss = 3545.26, lr = 0.00010000
06月20日 17:35:45 : Epoch 1/600, Iter 147/454, loss = 3535.19, lr = 0.00010000
06月20日 17:35:45 : Epoch 1/600, Iter 148/454, loss = 3525.34, lr = 0.00010000
06月20日 17:35:45 : Epoch 1/600, Iter 149/454, loss = 3515.01, lr = 0.00010000
06月20日 17:35:46 : Epoch 1/600, Iter 150/454, loss = 3504.44, lr = 0.00010000
06月20日 17:35:46 : Epoch 1/600, Iter 151/454, loss = 3494.00, lr = 0.00010000
06月20日 17:35:53 : Epoch 1/600, Iter 152/454, loss = 3482.71, lr = 0.00010000
06月20日 17:35:53 : Epoch 1/600, Iter 153/454, loss = 3472.77, lr = 0.00010000
06月20日 17:35:53 : Epoch 1/600, Iter 154/454, loss = 3460.64, lr = 0.00010000
06月20日 17:35:53 : Epoch 1/600, Iter 155/454, loss = 3450.94, lr = 0.00010000
06月20日 17:35:53 : Epoch 1/600, Iter 156/454, loss = 3442.48, lr = 0.00010000
06月20日 17:35:53 : Epoch 1/600, Iter 157/454, loss = 3430.78, lr = 0.00010000
06月20日 17:35:54 : Epoch 1/600, Iter 158/454, loss = 3422.45, lr = 0.00010000
06月20日 17:35:54 : Epoch 1/600, Iter 159/454, loss = 3413.96, lr = 0.00010000
06月20日 17:36:01 : Epoch 1/600, Iter 160/454, loss = 3403.76, lr = 0.00010000
06月20日 17:36:01 : Epoch 1/600, Iter 161/454, loss = 3393.26, lr = 0.00010000
06月20日 17:36:01 : Epoch 1/600, Iter 162/454, loss = 3384.15, lr = 0.00010000
06月20日 17:36:01 : Epoch 1/600, Iter 163/454, loss = 3375.87, lr = 0.00010000
06月20日 17:36:01 : Epoch 1/600, Iter 164/454, loss = 3370.27, lr = 0.00010000
06月20日 17:36:01 : Epoch 1/600, Iter 165/454, loss = 3362.10, lr = 0.00010000
06月20日 17:36:02 : Epoch 1/600, Iter 166/454, loss = 3354.11, lr = 0.00010000
06月20日 17:36:02 : Epoch 1/600, Iter 167/454, loss = 3344.46, lr = 0.00010000
06月20日 17:36:09 : Epoch 1/600, Iter 168/454, loss = 3336.94, lr = 0.00010000
06月20日 17:36:09 : Epoch 1/600, Iter 169/454, loss = 3329.07, lr = 0.00010000
06月20日 17:36:09 : Epoch 1/600, Iter 170/454, loss = 3321.60, lr = 0.00010000
06月20日 17:36:09 : Epoch 1/600, Iter 171/454, loss = 3314.75, lr = 0.00010000
06月20日 17:36:09 : Epoch 1/600, Iter 172/454, loss = 3305.71, lr = 0.00010000
06月20日 17:36:09 : Epoch 1/600, Iter 173/454, loss = 3298.47, lr = 0.00010000
06月20日 17:36:10 : Epoch 1/600, Iter 174/454, loss = 3289.90, lr = 0.00010000
06月20日 17:36:10 : Epoch 1/600, Iter 175/454, loss = 3282.49, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 176/454, loss = 3275.36, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 177/454, loss = 3269.98, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 178/454, loss = 3263.75, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 179/454, loss = 3256.10, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 180/454, loss = 3249.26, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 181/454, loss = 3241.88, lr = 0.00010000
06月20日 17:36:17 : Epoch 1/600, Iter 182/454, loss = 3235.87, lr = 0.00010000
06月20日 17:36:18 : Epoch 1/600, Iter 183/454, loss = 3228.63, lr = 0.00010000
06月20日 17:36:25 : Epoch 1/600, Iter 184/454, loss = 3220.27, lr = 0.00010000
06月20日 17:36:25 : Epoch 1/600, Iter 185/454, loss = 3214.20, lr = 0.00010000
06月20日 17:36:25 : Epoch 1/600, Iter 186/454, loss = 3205.05, lr = 0.00010000
06月20日 17:36:25 : Epoch 1/600, Iter 187/454, loss = 3196.69, lr = 0.00010000
06月20日 17:36:25 : Epoch 1/600, Iter 188/454, loss = 3188.57, lr = 0.00010000
06月20日 17:36:25 : Epoch 1/600, Iter 189/454, loss = 3181.95, lr = 0.00010000
06月20日 17:36:26 : Epoch 1/600, Iter 190/454, loss = 3175.73, lr = 0.00010000
06月20日 17:36:26 : Epoch 1/600, Iter 191/454, loss = 3170.74, lr = 0.00010000
06月20日 17:36:33 : Epoch 1/600, Iter 192/454, loss = 3161.77, lr = 0.00010000
06月20日 17:36:33 : Epoch 1/600, Iter 193/454, loss = 3154.72, lr = 0.00010000
06月20日 17:36:33 : Epoch 1/600, Iter 194/454, loss = 3146.78, lr = 0.00010000
06月20日 17:36:33 : Epoch 1/600, Iter 195/454, loss = 3141.27, lr = 0.00010000
06月20日 17:36:33 : Epoch 1/600, Iter 196/454, loss = 3134.67, lr = 0.00010000
06月20日 17:36:33 : Epoch 1/600, Iter 197/454, loss = 3128.27, lr = 0.00010000
06月20日 17:36:34 : Epoch 1/600, Iter 198/454, loss = 3120.92, lr = 0.00010000
06月20日 17:36:34 : Epoch 1/600, Iter 199/454, loss = 3113.13, lr = 0.00010000
