05月23日 23:47:45 : Epoch 1/90, Iter 0/219, loss = 76549.44, mse_loss = 76549.34, rate_loss = 0.10, rate_display = 0.63, lr = 0.00010000
05月23日 23:47:45 : Epoch 1/90, Iter 1/219, loss = 72968.85, mse_loss = 72968.77, rate_loss = 0.08, rate_display = 0.54, lr = 0.00010000
05月23日 23:47:46 : Epoch 1/90, Iter 2/219, loss = 71113.08, mse_loss = 71113.02, rate_loss = 0.07, rate_display = 0.46, lr = 0.00010000
05月23日 23:47:46 : Epoch 1/90, Iter 3/219, loss = 69378.49, mse_loss = 69378.43, rate_loss = 0.06, rate_display = 0.41, lr = 0.00010000
05月23日 23:47:47 : Epoch 1/90, Iter 4/219, loss = 69015.47, mse_loss = 69015.42, rate_loss = 0.05, rate_display = 0.37, lr = 0.00010000
05月23日 23:47:47 : Epoch 1/90, Iter 5/219, loss = 68551.09, mse_loss = 68551.04, rate_loss = 0.04, rate_display = 0.34, lr = 0.00010000
05月23日 23:47:48 : Epoch 1/90, Iter 6/219, loss = 67456.67, mse_loss = 67456.63, rate_loss = 0.04, rate_display = 0.32, lr = 0.00010000
05月23日 23:47:49 : Epoch 1/90, Iter 7/219, loss = 65825.00, mse_loss = 65824.96, rate_loss = 0.04, rate_display = 0.31, lr = 0.00010000
05月23日 23:47:49 : Epoch 1/90, Iter 8/219, loss = 65019.55, mse_loss = 65019.52, rate_loss = 0.03, rate_display = 0.29, lr = 0.00010000
05月23日 23:47:50 : Epoch 1/90, Iter 9/219, loss = 63721.57, mse_loss = 63721.54, rate_loss = 0.03, rate_display = 0.28, lr = 0.00010000
05月23日 23:47:50 : Epoch 1/90, Iter 10/219, loss = 62816.29, mse_loss = 62816.26, rate_loss = 0.03, rate_display = 0.27, lr = 0.00010000
05月23日 23:47:51 : Epoch 1/90, Iter 11/219, loss = 61758.41, mse_loss = 61758.38, rate_loss = 0.03, rate_display = 0.26, lr = 0.00010000
05月23日 23:47:51 : Epoch 1/90, Iter 12/219, loss = 60230.32, mse_loss = 60230.29, rate_loss = 0.03, rate_display = 0.25, lr = 0.00010000
05月23日 23:47:52 : Epoch 1/90, Iter 13/219, loss = 59119.82, mse_loss = 59119.79, rate_loss = 0.02, rate_display = 0.25, lr = 0.00010000
05月23日 23:47:52 : Epoch 1/90, Iter 14/219, loss = 57955.38, mse_loss = 57955.36, rate_loss = 0.02, rate_display = 0.24, lr = 0.00010000
05月23日 23:47:53 : Epoch 1/90, Iter 15/219, loss = 56722.31, mse_loss = 56722.28, rate_loss = 0.02, rate_display = 0.23, lr = 0.00010000
05月23日 23:47:54 : Epoch 1/90, Iter 16/219, loss = 55743.45, mse_loss = 55743.43, rate_loss = 0.02, rate_display = 0.22, lr = 0.00010000
05月23日 23:47:54 : Epoch 1/90, Iter 17/219, loss = 55364.55, mse_loss = 55364.53, rate_loss = 0.02, rate_display = 0.21, lr = 0.00010000
05月23日 23:47:55 : Epoch 1/90, Iter 18/219, loss = 54445.59, mse_loss = 54445.58, rate_loss = 0.02, rate_display = 0.21, lr = 0.00010000
