05月24日 16:07:49 : Epoch 1/90, Iter 0/219, loss = 288704.06, mse_loss = 288703.72, rate_loss = 0.34, rate_display = 0.54, lr = 0.00010000
05月24日 16:07:52 : Epoch 1/90, Iter 1/219, loss = 226385.27, mse_loss = 226384.94, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 16:07:52 : Epoch 1/90, Iter 2/219, loss = 197446.26, mse_loss = 197445.94, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 16:07:52 : Epoch 1/90, Iter 3/219, loss = 194127.40, mse_loss = 194127.08, rate_loss = 0.32, rate_display = 0.50, lr = 0.00010000
05月24日 16:07:52 : Epoch 1/90, Iter 4/219, loss = 184974.25, mse_loss = 184973.94, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 16:07:53 : Epoch 1/90, Iter 5/219, loss = 185248.64, mse_loss = 185248.33, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 16:07:53 : Epoch 1/90, Iter 6/219, loss = 176592.57, mse_loss = 176592.26, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 16:07:53 : Epoch 1/90, Iter 7/219, loss = 172792.53, mse_loss = 172792.22, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 16:07:53 : Epoch 1/90, Iter 8/219, loss = 168823.79, mse_loss = 168823.48, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 16:07:53 : Epoch 1/90, Iter 9/219, loss = 163866.58, mse_loss = 163866.27, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 16:07:54 : Epoch 1/90, Iter 10/219, loss = 159410.30, mse_loss = 159409.99, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 16:07:54 : Epoch 1/90, Iter 11/219, loss = 154192.85, mse_loss = 154192.55, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 16:07:54 : Epoch 1/90, Iter 12/219, loss = 148179.06, mse_loss = 148178.76, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 16:07:54 : Epoch 1/90, Iter 13/219, loss = 147000.16, mse_loss = 146999.86, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 16:07:55 : Epoch 1/90, Iter 14/219, loss = 142426.61, mse_loss = 142426.32, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 16:07:55 : Epoch 1/90, Iter 15/219, loss = 139910.89, mse_loss = 139910.60, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 16:07:55 : Epoch 1/90, Iter 16/219, loss = 137317.97, mse_loss = 137317.67, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:55 : Epoch 1/90, Iter 17/219, loss = 136781.18, mse_loss = 136780.88, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:56 : Epoch 1/90, Iter 18/219, loss = 133653.61, mse_loss = 133653.31, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:56 : Epoch 1/90, Iter 19/219, loss = 130247.92, mse_loss = 130247.63, rate_loss = 0.29, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:56 : Epoch 1/90, Iter 20/219, loss = 128171.17, mse_loss = 128170.88, rate_loss = 0.29, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:56 : Epoch 1/90, Iter 21/219, loss = 126710.78, mse_loss = 126710.48, rate_loss = 0.29, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:56 : Epoch 1/90, Iter 22/219, loss = 124210.97, mse_loss = 124210.67, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:57 : Epoch 1/90, Iter 23/219, loss = 122772.24, mse_loss = 122771.95, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:57 : Epoch 1/90, Iter 24/219, loss = 121143.63, mse_loss = 121143.34, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:57 : Epoch 1/90, Iter 25/219, loss = 120153.87, mse_loss = 120153.57, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:57 : Epoch 1/90, Iter 26/219, loss = 118912.33, mse_loss = 118912.03, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 16:07:58 : Epoch 1/90, Iter 27/219, loss = 117403.53, mse_loss = 117403.23, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
