05月24日 09:56:35 : Epoch 1/90, Iter 39/219, loss = 7921.26, mse_loss = 7921.19, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:35 : Epoch 1/90, Iter 40/219, loss = 7823.93, mse_loss = 7823.85, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:36 : Epoch 1/90, Iter 41/219, loss = 7732.06, mse_loss = 7731.98, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
05月24日 09:56:36 : Epoch 1/90, Iter 42/219, loss = 7644.19, mse_loss = 7644.11, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:37 : Epoch 1/90, Iter 43/219, loss = 7560.11, mse_loss = 7560.03, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:37 : Epoch 1/90, Iter 44/219, loss = 7486.24, mse_loss = 7486.17, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:38 : Epoch 1/90, Iter 45/219, loss = 7420.97, mse_loss = 7420.89, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:39 : Epoch 1/90, Iter 46/219, loss = 7351.86, mse_loss = 7351.79, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:39 : Epoch 1/90, Iter 47/219, loss = 7281.03, mse_loss = 7280.95, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:40 : Epoch 1/90, Iter 48/219, loss = 7208.90, mse_loss = 7208.83, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:40 : Epoch 1/90, Iter 49/219, loss = 7139.39, mse_loss = 7139.31, rate_loss = 0.08, rate_display = 0.15, lr = 0.00010000
05月24日 09:56:41 : Epoch 1/90, Iter 50/219, loss = 7068.44, mse_loss = 7068.36, rate_loss = 0.08, rate_display = 0.14, lr = 0.00010000
