05月23日 23:44:55 : Epoch 1/90, Iter 0/219, loss = 83458.09, mse_loss = 83458.02, rate_loss = 0.08, rate_display = 0.50, lr = 0.00010000
05月23日 23:44:56 : Epoch 1/90, Iter 1/219, loss = 74674.78, mse_loss = 74674.72, rate_loss = 0.06, rate_display = 0.42, lr = 0.00010000
05月23日 23:44:56 : Epoch 1/90, Iter 2/219, loss = 73366.45, mse_loss = 73366.41, rate_loss = 0.05, rate_display = 0.35, lr = 0.00010000
05月23日 23:44:57 : Epoch 1/90, Iter 3/219, loss = 72249.65, mse_loss = 72249.61, rate_loss = 0.04, rate_display = 0.31, lr = 0.00010000
05月23日 23:44:57 : Epoch 1/90, Iter 4/219, loss = 71599.48, mse_loss = 71599.44, rate_loss = 0.03, rate_display = 0.28, lr = 0.00010000
05月23日 23:44:58 : Epoch 1/90, Iter 5/219, loss = 70373.16, mse_loss = 70373.13, rate_loss = 0.03, rate_display = 0.25, lr = 0.00010000
05月23日 23:44:58 : Epoch 1/90, Iter 6/219, loss = 69944.03, mse_loss = 69944.01, rate_loss = 0.02, rate_display = 0.23, lr = 0.00010000
05月23日 23:44:59 : Epoch 1/90, Iter 7/219, loss = 69622.73, mse_loss = 69622.71, rate_loss = 0.02, rate_display = 0.22, lr = 0.00010000
05月23日 23:45:00 : Epoch 1/90, Iter 8/219, loss = 69360.10, mse_loss = 69360.08, rate_loss = 0.02, rate_display = 0.20, lr = 0.00010000
05月23日 23:45:00 : Epoch 1/90, Iter 9/219, loss = 68858.95, mse_loss = 68858.93, rate_loss = 0.02, rate_display = 0.19, lr = 0.00010000
05月23日 23:45:01 : Epoch 1/90, Iter 10/219, loss = 68141.51, mse_loss = 68141.49, rate_loss = 0.01, rate_display = 0.18, lr = 0.00010000
05月23日 23:45:01 : Epoch 1/90, Iter 11/219, loss = 67419.96, mse_loss = 67419.95, rate_loss = 0.01, rate_display = 0.18, lr = 0.00010000
05月23日 23:45:02 : Epoch 1/90, Iter 12/219, loss = 66807.71, mse_loss = 66807.69, rate_loss = 0.01, rate_display = 0.17, lr = 0.00010000
05月23日 23:45:03 : Epoch 1/90, Iter 13/219, loss = 66312.01, mse_loss = 66311.99, rate_loss = 0.01, rate_display = 0.17, lr = 0.00010000
05月23日 23:45:03 : Epoch 1/90, Iter 14/219, loss = 65705.20, mse_loss = 65705.19, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:04 : Epoch 1/90, Iter 15/219, loss = 64965.62, mse_loss = 64965.61, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:04 : Epoch 1/90, Iter 16/219, loss = 64231.35, mse_loss = 64231.34, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:05 : Epoch 1/90, Iter 17/219, loss = 63687.50, mse_loss = 63687.49, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:06 : Epoch 1/90, Iter 18/219, loss = 63179.77, mse_loss = 63179.77, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:06 : Epoch 1/90, Iter 19/219, loss = 62162.93, mse_loss = 62162.92, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:07 : Epoch 1/90, Iter 20/219, loss = 61403.85, mse_loss = 61403.84, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:07 : Epoch 1/90, Iter 21/219, loss = 60199.16, mse_loss = 60199.15, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:08 : Epoch 1/90, Iter 22/219, loss = 59409.87, mse_loss = 59409.86, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:09 : Epoch 1/90, Iter 23/219, loss = 58817.49, mse_loss = 58817.48, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:45:09 : Epoch 1/90, Iter 24/219, loss = 58438.75, mse_loss = 58438.74, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:10 : Epoch 1/90, Iter 25/219, loss = 57791.54, mse_loss = 57791.54, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:10 : Epoch 1/90, Iter 26/219, loss = 57281.55, mse_loss = 57281.55, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:11 : Epoch 1/90, Iter 27/219, loss = 56854.43, mse_loss = 56854.42, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:12 : Epoch 1/90, Iter 28/219, loss = 56218.72, mse_loss = 56218.72, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:12 : Epoch 1/90, Iter 29/219, loss = 55784.46, mse_loss = 55784.46, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:13 : Epoch 1/90, Iter 30/219, loss = 55069.80, mse_loss = 55069.79, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:13 : Epoch 1/90, Iter 31/219, loss = 54434.76, mse_loss = 54434.75, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:14 : Epoch 1/90, Iter 32/219, loss = 53948.19, mse_loss = 53948.19, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:45:15 : Epoch 1/90, Iter 33/219, loss = 53533.36, mse_loss = 53533.35, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:15 : Epoch 1/90, Iter 34/219, loss = 52997.95, mse_loss = 52997.95, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:16 : Epoch 1/90, Iter 35/219, loss = 52490.61, mse_loss = 52490.60, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:16 : Epoch 1/90, Iter 36/219, loss = 52142.50, mse_loss = 52142.49, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:17 : Epoch 1/90, Iter 37/219, loss = 51750.25, mse_loss = 51750.24, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:18 : Epoch 1/90, Iter 38/219, loss = 51258.68, mse_loss = 51258.67, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:18 : Epoch 1/90, Iter 39/219, loss = 50982.89, mse_loss = 50982.89, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:19 : Epoch 1/90, Iter 40/219, loss = 50716.13, mse_loss = 50716.12, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:19 : Epoch 1/90, Iter 41/219, loss = 50404.98, mse_loss = 50404.98, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:20 : Epoch 1/90, Iter 42/219, loss = 50101.19, mse_loss = 50101.19, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:21 : Epoch 1/90, Iter 43/219, loss = 49722.39, mse_loss = 49722.38, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:21 : Epoch 1/90, Iter 44/219, loss = 49457.56, mse_loss = 49457.56, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:22 : Epoch 1/90, Iter 45/219, loss = 49152.23, mse_loss = 49152.23, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:22 : Epoch 1/90, Iter 46/219, loss = 48963.98, mse_loss = 48963.98, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:23 : Epoch 1/90, Iter 47/219, loss = 48723.01, mse_loss = 48723.00, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:24 : Epoch 1/90, Iter 48/219, loss = 48432.75, mse_loss = 48432.74, rate_loss = 0.00, rate_display = 0.14, lr = 0.00010000
05月23日 23:45:24 : Epoch 1/90, Iter 49/219, loss = 48222.62, mse_loss = 48222.61, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:25 : Epoch 1/90, Iter 50/219, loss = 47940.71, mse_loss = 47940.70, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:25 : Epoch 1/90, Iter 51/219, loss = 47691.03, mse_loss = 47691.03, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:26 : Epoch 1/90, Iter 52/219, loss = 47526.85, mse_loss = 47526.85, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:27 : Epoch 1/90, Iter 53/219, loss = 47344.72, mse_loss = 47344.72, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:27 : Epoch 1/90, Iter 54/219, loss = 47161.62, mse_loss = 47161.61, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:28 : Epoch 1/90, Iter 55/219, loss = 46971.18, mse_loss = 46971.18, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:28 : Epoch 1/90, Iter 56/219, loss = 46855.13, mse_loss = 46855.13, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:29 : Epoch 1/90, Iter 57/219, loss = 46662.20, mse_loss = 46662.19, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:30 : Epoch 1/90, Iter 58/219, loss = 46427.02, mse_loss = 46427.02, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:30 : Epoch 1/90, Iter 59/219, loss = 46160.08, mse_loss = 46160.07, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:31 : Epoch 1/90, Iter 60/219, loss = 45984.90, mse_loss = 45984.90, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:31 : Epoch 1/90, Iter 61/219, loss = 45741.16, mse_loss = 45741.15, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:32 : Epoch 1/90, Iter 62/219, loss = 45555.47, mse_loss = 45555.47, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:33 : Epoch 1/90, Iter 63/219, loss = 45301.79, mse_loss = 45301.79, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:33 : Epoch 1/90, Iter 64/219, loss = 45110.64, mse_loss = 45110.64, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:34 : Epoch 1/90, Iter 65/219, loss = 44926.42, mse_loss = 44926.41, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:34 : Epoch 1/90, Iter 66/219, loss = 44728.81, mse_loss = 44728.81, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:35 : Epoch 1/90, Iter 67/219, loss = 44488.00, mse_loss = 44487.99, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:36 : Epoch 1/90, Iter 68/219, loss = 44251.23, mse_loss = 44251.22, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:36 : Epoch 1/90, Iter 69/219, loss = 44045.46, mse_loss = 44045.45, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:37 : Epoch 1/90, Iter 70/219, loss = 43836.42, mse_loss = 43836.42, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:37 : Epoch 1/90, Iter 71/219, loss = 43605.15, mse_loss = 43605.15, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:38 : Epoch 1/90, Iter 72/219, loss = 43374.81, mse_loss = 43374.81, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:38 : Epoch 1/90, Iter 73/219, loss = 43137.32, mse_loss = 43137.32, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:39 : Epoch 1/90, Iter 74/219, loss = 42885.99, mse_loss = 42885.99, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:40 : Epoch 1/90, Iter 75/219, loss = 42646.11, mse_loss = 42646.10, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
05月23日 23:45:40 : Epoch 1/90, Iter 76/219, loss = 42394.12, mse_loss = 42394.12, rate_loss = 0.00, rate_display = 0.13, lr = 0.00010000
