05月24日 16:45:30 : Epoch 1/90, Iter 0/219, loss = 163206.97, mse_loss = 163206.67, rate_loss = 0.29, rate_display = 0.46, lr = 0.00010000
05月24日 16:45:33 : Epoch 1/90, Iter 1/219, loss = 171012.42, mse_loss = 171012.18, rate_loss = 0.24, rate_display = 0.38, lr = 0.00010000
05月24日 16:45:33 : Epoch 1/90, Iter 2/219, loss = 156744.53, mse_loss = 156744.31, rate_loss = 0.21, rate_display = 0.35, lr = 0.00010000
05月24日 16:45:33 : Epoch 1/90, Iter 3/219, loss = 158338.58, mse_loss = 158338.38, rate_loss = 0.20, rate_display = 0.32, lr = 0.00010000
05月24日 16:45:33 : Epoch 1/90, Iter 4/219, loss = 153860.16, mse_loss = 153859.96, rate_loss = 0.19, rate_display = 0.31, lr = 0.00010000
05月24日 16:45:33 : Epoch 1/90, Iter 5/219, loss = 156482.05, mse_loss = 156481.87, rate_loss = 0.18, rate_display = 0.29, lr = 0.00010000
05月24日 16:45:34 : Epoch 1/90, Iter 6/219, loss = 152491.59, mse_loss = 152491.41, rate_loss = 0.18, rate_display = 0.29, lr = 0.00010000
05月24日 16:45:34 : Epoch 1/90, Iter 7/219, loss = 153275.72, mse_loss = 153275.54, rate_loss = 0.17, rate_display = 0.28, lr = 0.00010000
05月24日 16:45:34 : Epoch 1/90, Iter 8/219, loss = 149618.84, mse_loss = 149618.67, rate_loss = 0.17, rate_display = 0.28, lr = 0.00010000
05月24日 16:45:34 : Epoch 1/90, Iter 9/219, loss = 149518.11, mse_loss = 149517.94, rate_loss = 0.17, rate_display = 0.27, lr = 0.00010000
05月24日 16:45:35 : Epoch 1/90, Iter 10/219, loss = 144942.09, mse_loss = 144941.93, rate_loss = 0.16, rate_display = 0.26, lr = 0.00010000
05月24日 16:45:35 : Epoch 1/90, Iter 11/219, loss = 143087.60, mse_loss = 143087.43, rate_loss = 0.16, rate_display = 0.26, lr = 0.00010000
05月24日 16:45:35 : Epoch 1/90, Iter 12/219, loss = 142908.60, mse_loss = 142908.44, rate_loss = 0.16, rate_display = 0.26, lr = 0.00010000
05月24日 16:45:35 : Epoch 1/90, Iter 13/219, loss = 141708.59, mse_loss = 141708.43, rate_loss = 0.16, rate_display = 0.25, lr = 0.00010000
05月24日 16:45:36 : Epoch 1/90, Iter 14/219, loss = 139118.29, mse_loss = 139118.14, rate_loss = 0.15, rate_display = 0.25, lr = 0.00010000
05月24日 16:45:36 : Epoch 1/90, Iter 15/219, loss = 136017.88, mse_loss = 136017.73, rate_loss = 0.15, rate_display = 0.25, lr = 0.00010000
05月24日 16:45:36 : Epoch 1/90, Iter 16/219, loss = 133625.32, mse_loss = 133625.17, rate_loss = 0.15, rate_display = 0.25, lr = 0.00010000
05月24日 16:45:36 : Epoch 1/90, Iter 17/219, loss = 131891.95, mse_loss = 131891.80, rate_loss = 0.15, rate_display = 0.24, lr = 0.00010000
05月24日 16:45:37 : Epoch 1/90, Iter 18/219, loss = 130112.74, mse_loss = 130112.60, rate_loss = 0.15, rate_display = 0.24, lr = 0.00010000
05月24日 16:45:37 : Epoch 1/90, Iter 19/219, loss = 127666.13, mse_loss = 127665.99, rate_loss = 0.14, rate_display = 0.24, lr = 0.00010000
05月24日 16:45:37 : Epoch 1/90, Iter 20/219, loss = 125118.12, mse_loss = 125117.98, rate_loss = 0.14, rate_display = 0.23, lr = 0.00010000
05月24日 16:45:37 : Epoch 1/90, Iter 21/219, loss = 123550.47, mse_loss = 123550.33, rate_loss = 0.14, rate_display = 0.23, lr = 0.00010000
05月24日 16:45:37 : Epoch 1/90, Iter 22/219, loss = 122335.42, mse_loss = 122335.28, rate_loss = 0.14, rate_display = 0.23, lr = 0.00010000
05月24日 16:45:38 : Epoch 1/90, Iter 23/219, loss = 120166.84, mse_loss = 120166.70, rate_loss = 0.14, rate_display = 0.23, lr = 0.00010000
05月24日 16:45:38 : Epoch 1/90, Iter 24/219, loss = 119904.83, mse_loss = 119904.69, rate_loss = 0.14, rate_display = 0.22, lr = 0.00010000
05月24日 16:45:38 : Epoch 1/90, Iter 25/219, loss = 118253.60, mse_loss = 118253.47, rate_loss = 0.13, rate_display = 0.22, lr = 0.00010000
05月24日 16:45:38 : Epoch 1/90, Iter 26/219, loss = 117984.02, mse_loss = 117983.89, rate_loss = 0.13, rate_display = 0.22, lr = 0.00010000
05月24日 16:45:39 : Epoch 1/90, Iter 27/219, loss = 116140.86, mse_loss = 116140.73, rate_loss = 0.13, rate_display = 0.22, lr = 0.00010000
05月24日 16:45:39 : Epoch 1/90, Iter 28/219, loss = 114827.01, mse_loss = 114826.88, rate_loss = 0.13, rate_display = 0.21, lr = 0.00010000
05月24日 16:45:39 : Epoch 1/90, Iter 29/219, loss = 113878.73, mse_loss = 113878.60, rate_loss = 0.13, rate_display = 0.21, lr = 0.00010000
05月24日 16:45:39 : Epoch 1/90, Iter 30/219, loss = 112630.97, mse_loss = 112630.84, rate_loss = 0.13, rate_display = 0.21, lr = 0.00010000
05月24日 16:45:39 : Epoch 1/90, Iter 31/219, loss = 111828.57, mse_loss = 111828.44, rate_loss = 0.13, rate_display = 0.21, lr = 0.00010000
05月24日 16:45:40 : Epoch 1/90, Iter 32/219, loss = 111240.48, mse_loss = 111240.35, rate_loss = 0.13, rate_display = 0.21, lr = 0.00010000
05月24日 16:45:40 : Epoch 1/90, Iter 33/219, loss = 110441.65, mse_loss = 110441.52, rate_loss = 0.12, rate_display = 0.21, lr = 0.00010000
05月24日 16:45:40 : Epoch 1/90, Iter 34/219, loss = 109984.14, mse_loss = 109984.01, rate_loss = 0.12, rate_display = 0.20, lr = 0.00010000
05月24日 16:45:40 : Epoch 1/90, Iter 35/219, loss = 109316.30, mse_loss = 109316.18, rate_loss = 0.12, rate_display = 0.20, lr = 0.00010000
05月24日 16:45:40 : Epoch 1/90, Iter 36/219, loss = 108304.60, mse_loss = 108304.47, rate_loss = 0.12, rate_display = 0.20, lr = 0.00010000
05月24日 16:45:41 : Epoch 1/90, Iter 37/219, loss = 106993.96, mse_loss = 106993.83, rate_loss = 0.12, rate_display = 0.20, lr = 0.00010000
05月24日 16:45:41 : Epoch 1/90, Iter 38/219, loss = 106667.86, mse_loss = 106667.74, rate_loss = 0.12, rate_display = 0.20, lr = 0.00010000
