05月24日 15:54:18 : Epoch 1/90, Iter 0/219, loss = 154523.61, mse_loss = 154523.30, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 15:54:20 : Epoch 1/90, Iter 1/219, loss = 156997.53, mse_loss = 156997.21, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 15:54:20 : Epoch 1/90, Iter 2/219, loss = 166613.60, mse_loss = 166613.28, rate_loss = 0.32, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:20 : Epoch 1/90, Iter 3/219, loss = 157420.66, mse_loss = 157420.35, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 15:54:21 : Epoch 1/90, Iter 4/219, loss = 152943.76, mse_loss = 152943.45, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:21 : Epoch 1/90, Iter 5/219, loss = 143274.40, mse_loss = 143274.09, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:21 : Epoch 1/90, Iter 6/219, loss = 139819.13, mse_loss = 139818.82, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:21 : Epoch 1/90, Iter 7/219, loss = 137919.84, mse_loss = 137919.53, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:21 : Epoch 1/90, Iter 8/219, loss = 136779.65, mse_loss = 136779.34, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:21 : Epoch 1/90, Iter 9/219, loss = 133779.76, mse_loss = 133779.45, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:22 : Epoch 1/90, Iter 10/219, loss = 131680.57, mse_loss = 131680.25, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:22 : Epoch 1/90, Iter 11/219, loss = 129534.46, mse_loss = 129534.14, rate_loss = 0.32, rate_display = 0.50, lr = 0.00010000
05月24日 15:54:22 : Epoch 1/90, Iter 12/219, loss = 126985.18, mse_loss = 126984.86, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 15:54:22 : Epoch 1/90, Iter 13/219, loss = 127553.87, mse_loss = 127553.55, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 15:54:22 : Epoch 1/90, Iter 14/219, loss = 124050.50, mse_loss = 124050.18, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 15:54:23 : Epoch 1/90, Iter 15/219, loss = 123609.27, mse_loss = 123608.95, rate_loss = 0.32, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:23 : Epoch 1/90, Iter 16/219, loss = 121623.48, mse_loss = 121623.15, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:23 : Epoch 1/90, Iter 17/219, loss = 120029.90, mse_loss = 120029.57, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:23 : Epoch 1/90, Iter 18/219, loss = 118055.99, mse_loss = 118055.66, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:24 : Epoch 1/90, Iter 19/219, loss = 116187.58, mse_loss = 116187.26, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:24 : Epoch 1/90, Iter 20/219, loss = 115729.69, mse_loss = 115729.36, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:24 : Epoch 1/90, Iter 21/219, loss = 114082.70, mse_loss = 114082.38, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:24 : Epoch 1/90, Iter 22/219, loss = 112372.46, mse_loss = 112372.13, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:24 : Epoch 1/90, Iter 23/219, loss = 111493.95, mse_loss = 111493.62, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:24 : Epoch 1/90, Iter 24/219, loss = 110265.66, mse_loss = 110265.33, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:25 : Epoch 1/90, Iter 25/219, loss = 108984.46, mse_loss = 108984.13, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:25 : Epoch 1/90, Iter 26/219, loss = 107896.23, mse_loss = 107895.91, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:25 : Epoch 1/90, Iter 27/219, loss = 107094.64, mse_loss = 107094.32, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:25 : Epoch 1/90, Iter 28/219, loss = 105688.34, mse_loss = 105688.01, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:25 : Epoch 1/90, Iter 29/219, loss = 104861.05, mse_loss = 104860.72, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:26 : Epoch 1/90, Iter 30/219, loss = 103806.26, mse_loss = 103805.93, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:26 : Epoch 1/90, Iter 31/219, loss = 103350.26, mse_loss = 103349.93, rate_loss = 0.33, rate_display = 0.53, lr = 0.00010000
05月24日 15:54:26 : Epoch 1/90, Iter 32/219, loss = 102420.03, mse_loss = 102419.70, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:26 : Epoch 1/90, Iter 33/219, loss = 101154.49, mse_loss = 101154.16, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:26 : Epoch 1/90, Iter 34/219, loss = 99952.73, mse_loss = 99952.40, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:27 : Epoch 1/90, Iter 35/219, loss = 99386.78, mse_loss = 99386.45, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:27 : Epoch 1/90, Iter 36/219, loss = 98490.72, mse_loss = 98490.39, rate_loss = 0.33, rate_display = 0.53, lr = 0.00010000
05月24日 15:54:27 : Epoch 1/90, Iter 37/219, loss = 97452.66, mse_loss = 97452.34, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 15:54:27 : Epoch 1/90, Iter 38/219, loss = 96199.03, mse_loss = 96198.70, rate_loss = 0.33, rate_display = 0.53, lr = 0.00010000
