05月23日 23:48:25 : Epoch 1/90, Iter 0/219, loss = 67374.60, mse_loss = 67374.53, rate_loss = 0.07, rate_display = 0.48, lr = 0.00010000
05月23日 23:48:25 : Epoch 1/90, Iter 1/219, loss = 65951.11, mse_loss = 65951.05, rate_loss = 0.06, rate_display = 0.42, lr = 0.00010000
05月23日 23:48:26 : Epoch 1/90, Iter 2/219, loss = 63167.90, mse_loss = 63167.85, rate_loss = 0.05, rate_display = 0.38, lr = 0.00010000
05月23日 23:48:26 : Epoch 1/90, Iter 3/219, loss = 61588.01, mse_loss = 61587.96, rate_loss = 0.05, rate_display = 0.35, lr = 0.00010000
05月23日 23:48:27 : Epoch 1/90, Iter 4/219, loss = 59654.21, mse_loss = 59654.17, rate_loss = 0.04, rate_display = 0.33, lr = 0.00010000
05月23日 23:48:27 : Epoch 1/90, Iter 5/219, loss = 57887.13, mse_loss = 57887.10, rate_loss = 0.04, rate_display = 0.32, lr = 0.00010000
05月23日 23:48:28 : Epoch 1/90, Iter 6/219, loss = 56305.54, mse_loss = 56305.50, rate_loss = 0.04, rate_display = 0.30, lr = 0.00010000
05月23日 23:48:29 : Epoch 1/90, Iter 7/219, loss = 54605.15, mse_loss = 54605.12, rate_loss = 0.03, rate_display = 0.29, lr = 0.00010000
05月23日 23:48:29 : Epoch 1/90, Iter 8/219, loss = 52732.49, mse_loss = 52732.46, rate_loss = 0.03, rate_display = 0.28, lr = 0.00010000
05月23日 23:48:30 : Epoch 1/90, Iter 9/219, loss = 51495.91, mse_loss = 51495.88, rate_loss = 0.03, rate_display = 0.27, lr = 0.00010000
05月23日 23:48:30 : Epoch 1/90, Iter 10/219, loss = 50290.44, mse_loss = 50290.42, rate_loss = 0.03, rate_display = 0.26, lr = 0.00010000
05月23日 23:48:31 : Epoch 1/90, Iter 11/219, loss = 49639.43, mse_loss = 49639.40, rate_loss = 0.03, rate_display = 0.26, lr = 0.00010000
05月23日 23:48:31 : Epoch 1/90, Iter 12/219, loss = 48936.64, mse_loss = 48936.62, rate_loss = 0.03, rate_display = 0.25, lr = 0.00010000
05月23日 23:48:32 : Epoch 1/90, Iter 13/219, loss = 48445.20, mse_loss = 48445.18, rate_loss = 0.02, rate_display = 0.24, lr = 0.00010000
05月23日 23:48:33 : Epoch 1/90, Iter 14/219, loss = 47951.77, mse_loss = 47951.75, rate_loss = 0.02, rate_display = 0.23, lr = 0.00010000
05月23日 23:48:33 : Epoch 1/90, Iter 15/219, loss = 47243.92, mse_loss = 47243.90, rate_loss = 0.02, rate_display = 0.22, lr = 0.00010000
05月23日 23:48:34 : Epoch 1/90, Iter 16/219, loss = 47128.27, mse_loss = 47128.25, rate_loss = 0.02, rate_display = 0.22, lr = 0.00010000
05月23日 23:48:34 : Epoch 1/90, Iter 17/219, loss = 46775.01, mse_loss = 46775.00, rate_loss = 0.02, rate_display = 0.21, lr = 0.00010000
05月23日 23:48:35 : Epoch 1/90, Iter 18/219, loss = 46496.74, mse_loss = 46496.72, rate_loss = 0.02, rate_display = 0.20, lr = 0.00010000
05月23日 23:48:35 : Epoch 1/90, Iter 19/219, loss = 46170.84, mse_loss = 46170.82, rate_loss = 0.02, rate_display = 0.20, lr = 0.00010000
05月23日 23:48:36 : Epoch 1/90, Iter 20/219, loss = 46152.30, mse_loss = 46152.28, rate_loss = 0.02, rate_display = 0.19, lr = 0.00010000
05月23日 23:48:37 : Epoch 1/90, Iter 21/219, loss = 45702.58, mse_loss = 45702.56, rate_loss = 0.01, rate_display = 0.18, lr = 0.00010000
05月23日 23:48:37 : Epoch 1/90, Iter 22/219, loss = 45399.88, mse_loss = 45399.87, rate_loss = 0.01, rate_display = 0.18, lr = 0.00010000
05月23日 23:48:38 : Epoch 1/90, Iter 23/219, loss = 44962.30, mse_loss = 44962.28, rate_loss = 0.01, rate_display = 0.17, lr = 0.00010000
05月23日 23:48:38 : Epoch 1/90, Iter 24/219, loss = 44671.13, mse_loss = 44671.12, rate_loss = 0.01, rate_display = 0.17, lr = 0.00010000
05月23日 23:48:39 : Epoch 1/90, Iter 25/219, loss = 44186.99, mse_loss = 44186.98, rate_loss = 0.01, rate_display = 0.17, lr = 0.00010000
05月23日 23:48:40 : Epoch 1/90, Iter 26/219, loss = 43870.23, mse_loss = 43870.22, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:48:40 : Epoch 1/90, Iter 27/219, loss = 43520.78, mse_loss = 43520.77, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:48:41 : Epoch 1/90, Iter 28/219, loss = 43168.64, mse_loss = 43168.63, rate_loss = 0.01, rate_display = 0.16, lr = 0.00010000
05月23日 23:48:41 : Epoch 1/90, Iter 29/219, loss = 42920.25, mse_loss = 42920.24, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:48:42 : Epoch 1/90, Iter 30/219, loss = 42622.48, mse_loss = 42622.47, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:48:43 : Epoch 1/90, Iter 31/219, loss = 42402.75, mse_loss = 42402.74, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:48:43 : Epoch 1/90, Iter 32/219, loss = 42158.52, mse_loss = 42158.51, rate_loss = 0.01, rate_display = 0.15, lr = 0.00010000
05月23日 23:48:44 : Epoch 1/90, Iter 33/219, loss = 41849.64, mse_loss = 41849.63, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
05月23日 23:48:44 : Epoch 1/90, Iter 34/219, loss = 41450.70, mse_loss = 41450.69, rate_loss = 0.01, rate_display = 0.14, lr = 0.00010000
