05月24日 14:52:23 : Epoch 1/90, Iter 0/219, loss = 168242.98, mse_loss = 168242.59, rate_loss = 0.39, rate_display = 0.61, lr = 0.00010000
05月24日 14:52:23 : Epoch 1/90, Iter 1/219, loss = 169871.00, mse_loss = 169870.66, rate_loss = 0.34, rate_display = 0.54, lr = 0.00010000
05月24日 14:52:24 : Epoch 1/90, Iter 2/219, loss = 171188.25, mse_loss = 171187.94, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 14:52:24 : Epoch 1/90, Iter 3/219, loss = 165330.44, mse_loss = 165330.15, rate_loss = 0.29, rate_display = 0.46, lr = 0.00010000
05月24日 14:52:25 : Epoch 1/90, Iter 4/219, loss = 161094.51, mse_loss = 161094.23, rate_loss = 0.28, rate_display = 0.44, lr = 0.00010000
05月24日 14:52:25 : Epoch 1/90, Iter 5/219, loss = 160600.04, mse_loss = 160599.76, rate_loss = 0.28, rate_display = 0.44, lr = 0.00010000
05月24日 14:52:26 : Epoch 1/90, Iter 6/219, loss = 162281.29, mse_loss = 162281.02, rate_loss = 0.27, rate_display = 0.43, lr = 0.00010000
05月24日 14:52:26 : Epoch 1/90, Iter 7/219, loss = 158711.13, mse_loss = 158710.87, rate_loss = 0.26, rate_display = 0.42, lr = 0.00010000
05月24日 14:52:27 : Epoch 1/90, Iter 8/219, loss = 160704.30, mse_loss = 160704.03, rate_loss = 0.26, rate_display = 0.41, lr = 0.00010000
05月24日 14:52:28 : Epoch 1/90, Iter 9/219, loss = 157171.41, mse_loss = 157171.15, rate_loss = 0.26, rate_display = 0.42, lr = 0.00010000
05月24日 14:52:28 : Epoch 1/90, Iter 10/219, loss = 153781.84, mse_loss = 153781.58, rate_loss = 0.26, rate_display = 0.42, lr = 0.00010000
05月24日 14:52:29 : Epoch 1/90, Iter 11/219, loss = 150256.95, mse_loss = 150256.68, rate_loss = 0.26, rate_display = 0.42, lr = 0.00010000
05月24日 14:52:29 : Epoch 1/90, Iter 12/219, loss = 148630.92, mse_loss = 148630.66, rate_loss = 0.26, rate_display = 0.42, lr = 0.00010000
05月24日 14:52:30 : Epoch 1/90, Iter 13/219, loss = 147813.66, mse_loss = 147813.40, rate_loss = 0.26, rate_display = 0.41, lr = 0.00010000
05月24日 14:52:30 : Epoch 1/90, Iter 14/219, loss = 143851.05, mse_loss = 143850.80, rate_loss = 0.26, rate_display = 0.41, lr = 0.00010000
05月24日 14:52:31 : Epoch 1/90, Iter 15/219, loss = 141290.48, mse_loss = 141290.23, rate_loss = 0.26, rate_display = 0.41, lr = 0.00010000
05月24日 14:52:31 : Epoch 1/90, Iter 16/219, loss = 138788.25, mse_loss = 138787.99, rate_loss = 0.26, rate_display = 0.41, lr = 0.00010000
05月24日 14:52:32 : Epoch 1/90, Iter 17/219, loss = 136087.54, mse_loss = 136087.28, rate_loss = 0.26, rate_display = 0.41, lr = 0.00010000
