05月24日 15:47:16 : Epoch 1/90, Iter 0/219, loss = 129248.75, mse_loss = 129248.38, rate_loss = 0.37, rate_display = 0.60, lr = 0.00010000
05月24日 15:47:18 : Epoch 1/90, Iter 1/219, loss = 147229.48, mse_loss = 147229.10, rate_loss = 0.38, rate_display = 0.61, lr = 0.00010000
05月24日 15:47:19 : Epoch 1/90, Iter 2/219, loss = 146284.74, mse_loss = 146284.36, rate_loss = 0.38, rate_display = 0.60, lr = 0.00010000
05月24日 15:47:19 : Epoch 1/90, Iter 3/219, loss = 150259.43, mse_loss = 150259.05, rate_loss = 0.38, rate_display = 0.60, lr = 0.00010000
05月24日 15:47:19 : Epoch 1/90, Iter 4/219, loss = 143829.18, mse_loss = 143828.80, rate_loss = 0.37, rate_display = 0.59, lr = 0.00010000
05月24日 15:47:19 : Epoch 1/90, Iter 5/219, loss = 139176.92, mse_loss = 139176.55, rate_loss = 0.37, rate_display = 0.58, lr = 0.00010000
05月24日 15:47:19 : Epoch 1/90, Iter 6/219, loss = 138906.70, mse_loss = 138906.34, rate_loss = 0.36, rate_display = 0.58, lr = 0.00010000
05月24日 15:47:19 : Epoch 1/90, Iter 7/219, loss = 133244.25, mse_loss = 133243.89, rate_loss = 0.36, rate_display = 0.57, lr = 0.00010000
05月24日 15:47:20 : Epoch 1/90, Iter 8/219, loss = 130086.02, mse_loss = 130085.66, rate_loss = 0.36, rate_display = 0.57, lr = 0.00010000
05月24日 15:47:20 : Epoch 1/90, Iter 9/219, loss = 130153.65, mse_loss = 130153.29, rate_loss = 0.35, rate_display = 0.56, lr = 0.00010000
05月24日 15:47:20 : Epoch 1/90, Iter 10/219, loss = 129027.00, mse_loss = 129026.65, rate_loss = 0.35, rate_display = 0.56, lr = 0.00010000
05月24日 15:47:20 : Epoch 1/90, Iter 11/219, loss = 123841.95, mse_loss = 123841.60, rate_loss = 0.35, rate_display = 0.56, lr = 0.00010000
05月24日 15:47:20 : Epoch 1/90, Iter 12/219, loss = 124861.26, mse_loss = 124860.92, rate_loss = 0.35, rate_display = 0.55, lr = 0.00010000
05月24日 15:47:21 : Epoch 1/90, Iter 13/219, loss = 122534.91, mse_loss = 122534.57, rate_loss = 0.35, rate_display = 0.55, lr = 0.00010000
