05月24日 23:23:39 : Epoch 1/90, Iter 0/219, loss = 232268.98, mse_loss = 232268.64, rate_loss = 0.35, rate_display = 0.55, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 1/219, loss = 205964.52, mse_loss = 205964.19, rate_loss = 0.34, rate_display = 0.54, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 2/219, loss = 180758.07, mse_loss = 180757.74, rate_loss = 0.33, rate_display = 0.52, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 3/219, loss = 174184.92, mse_loss = 174184.60, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 4/219, loss = 171040.34, mse_loss = 171040.02, rate_loss = 0.32, rate_display = 0.51, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 5/219, loss = 171243.26, mse_loss = 171242.94, rate_loss = 0.32, rate_display = 0.50, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 6/219, loss = 172047.53, mse_loss = 172047.21, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 7/219, loss = 173253.43, mse_loss = 173253.12, rate_loss = 0.31, rate_display = 0.50, lr = 0.00010000
05月24日 23:23:44 : Epoch 1/90, Iter 8/219, loss = 178393.21, mse_loss = 178392.90, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 23:23:47 : Epoch 1/90, Iter 9/219, loss = 176458.29, mse_loss = 176457.99, rate_loss = 0.31, rate_display = 0.49, lr = 0.00010000
05月24日 23:23:47 : Epoch 1/90, Iter 10/219, loss = 172730.24, mse_loss = 172729.94, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 23:23:47 : Epoch 1/90, Iter 11/219, loss = 171051.04, mse_loss = 171050.74, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 23:23:47 : Epoch 1/90, Iter 12/219, loss = 169790.56, mse_loss = 169790.26, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 23:23:47 : Epoch 1/90, Iter 13/219, loss = 171496.98, mse_loss = 171496.68, rate_loss = 0.30, rate_display = 0.48, lr = 0.00010000
05月24日 23:23:49 : Epoch 1/90, Iter 14/219, loss = 170391.09, mse_loss = 170390.79, rate_loss = 0.30, rate_display = 0.47, lr = 0.00010000
05月24日 23:23:49 : Epoch 1/90, Iter 15/219, loss = 167269.35, mse_loss = 167269.05, rate_loss = 0.29, rate_display = 0.47, lr = 0.00010000
05月24日 23:23:49 : Epoch 1/90, Iter 16/219, loss = 164602.02, mse_loss = 164601.73, rate_loss = 0.29, rate_display = 0.47, lr = 0.00010000
05月24日 23:23:50 : Epoch 1/90, Iter 17/219, loss = 161455.67, mse_loss = 161455.38, rate_loss = 0.29, rate_display = 0.46, lr = 0.00010000
05月24日 23:23:50 : Epoch 1/90, Iter 18/219, loss = 162044.93, mse_loss = 162044.64, rate_loss = 0.29, rate_display = 0.46, lr = 0.00010000
05月24日 23:23:50 : Epoch 1/90, Iter 19/219, loss = 162255.83, mse_loss = 162255.54, rate_loss = 0.29, rate_display = 0.46, lr = 0.00010000
05月24日 23:23:50 : Epoch 1/90, Iter 20/219, loss = 159932.41, mse_loss = 159932.13, rate_loss = 0.29, rate_display = 0.46, lr = 0.00010000
